area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Burglary,2017-10 to 2018-11,rate,crimes,20.8
E05000820,Ashton upon Mersey,Burglary,2017-10 to 2018-11,rate,crimes,20
E05000821,Bowdon,Burglary,2017-10 to 2018-11,rate,crimes,15
E05000822,Broadheath,Burglary,2017-10 to 2018-11,rate,crimes,18.6
E05000823,Brooklands,Burglary,2017-10 to 2018-11,rate,crimes,25.3
E05000824,Bucklow-St Martins,Burglary,2017-10 to 2018-11,rate,crimes,11.3
E05000825,Clifford,Burglary,2017-10 to 2018-11,rate,crimes,18.6
E05000826,Davyhulme East,Burglary,2017-10 to 2018-11,rate,crimes,10.4
E05000827,Davyhulme West,Burglary,2017-10 to 2018-11,rate,crimes,10.2
E05000828,Flixton,Burglary,2017-10 to 2018-11,rate,crimes,9.6
E05000829,Gorse Hill,Burglary,2017-10 to 2018-11,rate,crimes,21.5
E05000830,Hale Barns,Burglary,2017-10 to 2018-11,rate,crimes,32.3
E05000831,Hale Central,Burglary,2017-10 to 2018-11,rate,crimes,24.4
E05000832,Longford,Burglary,2017-10 to 2018-11,rate,crimes,17.3
E05000833,Priory,Burglary,2017-10 to 2018-11,rate,crimes,23.7
E05000834,St Mary's,Burglary,2017-10 to 2018-11,rate,crimes,13.1
E05000835,Sale Moor,Burglary,2017-10 to 2018-11,rate,crimes,17.2
E05000836,Stretford,Burglary,2017-10 to 2018-11,rate,crimes,12.7
E05000837,Timperley,Burglary,2017-10 to 2018-11,rate,crimes,13.1
E05000838,Urmston,Burglary,2017-10 to 2018-11,rate,crimes,10
E05000839,Village,Burglary,2017-10 to 2018-11,rate,crimes,21.2
