area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,5.1
E05000820,Ashton upon Mersey,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,1.9
E05000821,Bowdon,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,3.8
E05000822,Broadheath,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,4.1
E05000823,Brooklands,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,1.7
E05000824,Bucklow-St Martins,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,26.6
E05000825,Clifford,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,17.7
E05000826,Davyhulme East,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,6.6
E05000827,Davyhulme West,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,8.9
E05000828,Flixton,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,4.6
E05000829,Gorse Hill,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,16.2
E05000830,Hale Barns,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,2.9
E05000831,Hale Central,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,1.7
E05000832,Longford,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,13.8
E05000833,Priory,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,3.2
E05000834,St Mary's,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,13.3
E05000835,Sale Moor,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,11.9
E05000836,Stretford,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,13.4
E05000837,Timperley,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,1.8
E05000838,Urmston,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,4.7
E05000839,Village,percentageage of dependent children (0-18) in out-of-work households,2017,Percentage,Persons,11.8
