area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Fuel poverty,2017,Percentage,Households,9.2
E05000820,Ashton upon Mersey,Fuel poverty,2017,Percentage,Households,9.7
E05000821,Bowdon,Fuel poverty,2017,Percentage,Households,8.8
E05000822,Broadheath,Fuel poverty,2017,Percentage,Households,9.7
E05000823,Brooklands,Fuel poverty,2017,Percentage,Households,9.7
E05000824,Bucklow-St Martins,Fuel poverty,2017,Percentage,Households,14.2
E05000825,Clifford,Fuel poverty,2017,Percentage,Households,17.2
E05000826,Davyhulme East,Fuel poverty,2017,Percentage,Households,10.3
E05000827,Davyhulme West,Fuel poverty,2017,Percentage,Households,10.1
E05000828,Flixton,Fuel poverty,2017,Percentage,Households,10.2
E05000829,Gorse Hill,Fuel poverty,2017,Percentage,Households,13.7
E05000830,Hale Barns,Fuel poverty,2017,Percentage,Households,9.5
E05000831,Hale Central,Fuel poverty,2017,Percentage,Households,10.3
E05000832,Longford,Fuel poverty,2017,Percentage,Households,14
E05000833,Priory,Fuel poverty,2017,Percentage,Households,11.6
E05000834,St Mary's,Fuel poverty,2017,Percentage,Households,9.7
E05000835,Sale Moor,Fuel poverty,2017,Percentage,Households,10.5
E05000836,Stretford,Fuel poverty,2017,Percentage,Households,11.9
E05000837,Timperley,Fuel poverty,2017,Percentage,Households,8.2
E05000838,Urmston,Fuel poverty,2017,Percentage,Households,11.6
E05000839,Village,Fuel poverty,2017,Percentage,Households,10.5
