area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Male life expectancy at birth,2013 to 2017,Years,Males,80.4
E05000820,Ashton upon Mersey,Male life expectancy at birth,2013 to 2017,Years,Males,80.6
E05000821,Bowdon,Male life expectancy at birth,2013 to 2017,Years,Males,84
E05000822,Broadheath,Male life expectancy at birth,2013 to 2017,Years,Males,80
E05000823,Brooklands,Male life expectancy at birth,2013 to 2017,Years,Males,82
E05000824,Bucklow-St Martins,Male life expectancy at birth,2013 to 2017,Years,Males,75.6
E05000825,Clifford,Male life expectancy at birth,2013 to 2017,Years,Males,75.6
E05000826,Davyhulme East,Male life expectancy at birth,2013 to 2017,Years,Males,81.4
E05000827,Davyhulme West,Male life expectancy at birth,2013 to 2017,Years,Males,80.7
E05000828,Flixton,Male life expectancy at birth,2013 to 2017,Years,Males,80.2
E05000829,Gorse Hill,Male life expectancy at birth,2013 to 2017,Years,Males,76.3
E05000830,Hale Barns,Male life expectancy at birth,2013 to 2017,Years,Males,83.8
E05000831,Hale Central,Male life expectancy at birth,2013 to 2017,Years,Males,81.5
E05000832,Longford,Male life expectancy at birth,2013 to 2017,Years,Males,78.9
E05000833,Priory,Male life expectancy at birth,2013 to 2017,Years,Males,81.5
E05000834,St Marys,Male life expectancy at birth,2013 to 2017,Years,Males,79.7
E05000835,Sale Moor,Male life expectancy at birth,2013 to 2017,Years,Males,80.4
E05000836,Stretford,Male life expectancy at birth,2013 to 2017,Years,Males,77.2
E05000837,Timperley,Male life expectancy at birth,2013 to 2017,Years,Males,81.2
E05000838,Urmston,Male life expectancy at birth,2013 to 2017,Years,Males,76.8
E05000839,Village,Male life expectancy at birth,2013 to 2017,Years,Males,79.3
