area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,6.7
E05000820,Ashton upon Mersey,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,6.5
E05000821,Bowdon,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,5.9
E05000822,Broadheath,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,7.9
E05000823,Brooklands,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,5.9
E05000824,Bucklow-St Martins,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,9.3
E05000825,Clifford,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,9.6
E05000826,Davyhulme East,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,7.2
E05000827,Davyhulme West,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,7.9
E05000828,Flixton,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,8
E05000829,Gorse Hill,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,9.1
E05000830,Hale Barns,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,8.3
E05000831,Hale Central,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,6.3
E05000832,Longford,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,8.9
E05000833,Priory,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,5.3
E05000834,St Mary's,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,8.7
E05000835,Sale Moor,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,9.1
E05000836,Stretford,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,8.4
E05000837,Timperley,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,4
E05000838,Urmston,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,8.8
E05000839,Village,Children in Reception Year who were classified as obese,2014/15 to 2016/17,Percentage,Persons,6.5
