area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,12.6
E05000820,Ashton upon Mersey,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,12.2
E05000821,Bowdon,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,14.9
E05000822,Broadheath,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,17.5
E05000823,Brooklands,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,15
E05000824,Bucklow-St Martins,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,25.8
E05000825,Clifford,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,20.2
E05000826,Davyhulme East,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,16.4
E05000827,Davyhulme West,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,17.4
E05000828,Flixton,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,14.7
E05000829,Gorse Hill,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,23
E05000830,Hale Barns,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,10.7
E05000831,Hale Central,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,12.5
E05000832,Longford,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,21.1
E05000833,Priory,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,10.8
E05000834,St Mary's,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,17.9
E05000835,Sale Moor,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,20.3
E05000836,Stretford,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,22.2
E05000837,Timperley,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,10.1
E05000838,Urmston,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,18.5
E05000839,Village,Children in Year 6 who were classified as obese,2017/18 to 2019/20,Percentage,Persons,19.8
