area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,13.2
E05000820,Ashton upon Mersey,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,12.4
E05000821,Bowdon,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,11.3
E05000822,Broadheath,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,16.7
E05000823,Brooklands,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,15.4
E05000824,Bucklow-St Martins,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,22.3
E05000825,Clifford,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,21.8
E05000826,Davyhulme East,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,16.1
E05000827,Davyhulme West,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,15.9
E05000828,Flixton,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,14.8
E05000829,Gorse Hill,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,24.1
E05000830,Hale Barns,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,12.9
E05000831,Hale Central,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,9.8
E05000832,Longford,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,22.1
E05000833,Priory,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,13.9
E05000834,St Mary's,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,16.8
E05000835,Sale Moor,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,19.3
E05000836,Stretford,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,20.8
E05000837,Timperley,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,12.9
E05000838,Urmston,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,16.7
E05000839,Village,Children in Year 6 who were classified as obese,2016/17 to 2018/19,Percentage,Persons,20.7
