area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Population density per km sq,2017-06-30,Density,Persons,4218.6
E05000820,Ashton upon Mersey,Population density per km sq,2017-06-30,Density,Persons,4438.8
E05000821,Bowdon,Population density per km sq,2017-06-30,Density,Persons,406.1
E05000822,Broadheath,Population density per km sq,2017-06-30,Density,Persons,3304.6
E05000823,Brooklands,Population density per km sq,2017-06-30,Density,Persons,4795.5
E05000824,Bucklow-St Martins,Population density per km sq,2017-06-30,Density,Persons,809.8
E05000825,Clifford,Population density per km sq,2017-06-30,Density,Persons,6569.8
E05000826,Davyhulme East,Population density per km sq,2017-06-30,Density,Persons,2339.3
E05000827,Davyhulme West,Population density per km sq,2017-06-30,Density,Persons,2285.7
E05000828,Flixton,Population density per km sq,2017-06-30,Density,Persons,2684.5
E05000829,Gorse Hill,Population density per km sq,2017-06-30,Density,Persons,1408.7
E05000830,Hale Barns,Population density per km sq,2017-06-30,Density,Persons,1218.1
E05000831,Hale Central,Population density per km sq,2017-06-30,Density,Persons,4147
E05000832,Longford,Population density per km sq,2017-06-30,Density,Persons,3555.9
E05000833,Priory,Population density per km sq,2017-06-30,Density,Persons,3592.4
E05000834,St Mary's,Population density per km sq,2017-06-30,Density,Persons,4464
E05000835,Sale Moor,Population density per km sq,2017-06-30,Density,Persons,3777.2
E05000836,Stretford,Population density per km sq,2017-06-30,Density,Persons,3493.7
E05000837,Timperley,Population density per km sq,2017-06-30,Density,Persons,5409
E05000838,Urmston,Population density per km sq,2017-06-30,Density,Persons,3046.7
E05000839,Village,Population density per km sq,2017-06-30,Density,Persons,4975.1
