area_code,area_name,indicator,period,measure,unit,value
E05000819,Altrincham,Total resident population,2017-06-30,Count,Persons,12803
E05000820,Ashton upon Mersey,Total resident population,2017-06-30,Count,Persons,10209
E05000821,Bowdon,Total resident population,2017-06-30,Count,Persons,9549
E05000822,Broadheath,Total resident population,2017-06-30,Count,Persons,13829
E05000823,Brooklands,Total resident population,2017-06-30,Count,Persons,10701
E05000824,Bucklow-St Martins,Total resident population,2017-06-30,Count,Persons,10605
E05000825,Clifford,Total resident population,2017-06-30,Count,Persons,12248
E05000826,Davyhulme East,Total resident population,2017-06-30,Count,Persons,9804
E05000827,Davyhulme West,Total resident population,2017-06-30,Count,Persons,9980
E05000828,Flixton,Total resident population,2017-06-30,Count,Persons,10807
E05000829,Gorse Hill,Total resident population,2017-06-30,Count,Persons,12467
E05000830,Hale Barns,Total resident population,2017-06-30,Count,Persons,10219
E05000831,Hale Central,Total resident population,2017-06-30,Count,Persons,10820
E05000832,Longford,Total resident population,2017-06-30,Count,Persons,12390
E05000833,Priory,Total resident population,2017-06-30,Count,Persons,11633
E05000834,St Mary's,Total resident population,2017-06-30,Count,Persons,11953
E05000835,Sale Moor,Total resident population,2017-06-30,Count,Persons,10744
E05000836,Stretford,Total resident population,2017-06-30,Count,Persons,11314
E05000837,Timperley,Total resident population,2017-06-30,Count,Persons,11207
E05000838,Urmston,Total resident population,2017-06-30,Count,Persons,11343
E05000839,Village,Total resident population,2017-06-30,Count,Persons,10868
